,name,st_size,st_mode,st_ino,st_dev,st_nlink,st_uid,st_gid,st_atime,st_mtime,st_ctime
72,Comedy - howard stern - howard.mp3,9977442,33206,4986260,4172478725,1,0,0,2023-03-27 19:22:01.889069,2019-09-29 06:50:33.835019,2019-05-16 16:27:35.706181
73,Danger                        .mp3,3586697,33206,4986262,4172478725,1,0,0,2023-03-27 19:22:01.929069,2019-09-29 06:50:34.851643,2019-05-16 16:27:35.706181
74,Don't stop the night          .mp3,3404063,33206,4986266,4172478725,1,0,0,2023-03-27 19:22:02.090068,2019-09-29 06:50:35.742359,2019-05-16 16:27:35.707181
75,Dylan -- 112 wild mt theme    .mp3,6388518,33206,4986268,4172478725,1,0,0,2023-03-27 19:22:02.309068,2019-09-29 06:50:37.182388,2019-05-16 16:27:35.695182
76,George strait--chair.mp3      .mp3,2691048,33206,4986271,4172478725,1,0,0,2023-03-27 19:22:02.375067,2019-09-29 06:50:38.049465,2019-05-16 16:27:35.707181
77,He can't love you             .mp3,3943227,33206,4986273,4172478725,1,0,0,2023-03-27 19:22:02.496067,2019-09-29 06:50:39.083101,2019-05-16 16:27:35.708181
78,Heartbreaker                  .mp3,3958686,33206,4986275,4172478725,1,0,0,2023-03-27 19:22:02.583067,2019-09-29 06:50:40.381948,2019-05-16 16:27:35.708181
79,Hearts on fire                .mp3,3757232,33206,4986278,4172478725,1,0,0,2023-03-27 19:22:02.625067,2019-09-29 06:50:41.413839,2019-05-16 16:27:35.708181
80,How old are you               .mp3,3068436,33206,4986280,4172478725,1,0,0,2023-03-27 19:22:02.672067,2019-09-29 06:50:42.266244,2019-05-16 16:27:35.709181
81,Howard stern - artie lange get.mp3,29512020,33206,4986282,4172478725,1,0,0,2023-03-27 19:22:02.745067,2019-09-29 06:50:49.541568,2019-05-16 16:27:35.709181
82,Howard stern - artie lange pig.mp3,2775260,33206,4986285,4172478725,1,0,0,2023-03-27 19:22:02.879066,2019-09-29 06:50:50.750728,2019-05-16 16:27:35.721181
83,Howard stern show - dave chape.mp3,8439168,33206,4986287,4172478725,1,0,0,2023-03-27 19:22:02.947066,2019-09-29 06:50:53.115164,2019-05-16 16:27:35.722181
84,I beleive in miracles         .mp3,3704158,33206,4986291,4172478725,1,0,0,2023-03-27 19:22:03.077066,2019-09-29 06:50:54.947929,2019-05-16 16:27:35.722181
85,I can't see anything but you  .mp3,3010771,33206,4986293,4172478725,1,0,0,2023-03-27 19:22:03.201065,2019-09-29 06:50:55.656667,2019-05-16 16:27:35.723181
86,In and out of love            .mp3,3758072,33206,4986297,4172478725,1,0,0,2023-03-27 19:22:03.321065,2019-09-29 06:50:56.570561,2019-05-16 16:27:35.723181
87,It makes no difference        .mp3,4014703,33206,4986299,4172478725,1,0,0,2023-03-27 19:22:03.398065,2019-09-29 06:50:57.486907,2019-05-16 16:27:35.723181
88,Jackie leaves the show        .mp3,7390027,33206,1505258,4172478725,1,0,0,2023-03-27 19:22:00.872072,2011-06-23 03:31:14.000000,2019-05-16 16:27:35.724181
89,Juliet                        .mp3,3636434,33206,4986301,4172478725,1,0,0,2023-03-27 19:22:03.461065,2019-09-29 06:50:58.445443,2019-05-16 16:27:35.724181
90,Just one more night.mp3,3509389,33206,1505270,4172478725,1,0,0,2023-03-27 19:22:01.243071,2017-04-16 21:28:30.554737,2019-05-16 16:27:35.732181
91,Katy's gone                   .mp3,3499766,33206,4986305,4172478725,1,0,0,2023-03-27 19:22:03.512064,2019-09-29 06:50:59.332714,2019-05-16 16:27:35.725181
92,Misunderstood                 .mp3,3820761,33206,4986307,4172478725,1,0,0,2023-03-27 19:22:03.620064,2019-09-29 06:51:00.298611,2019-05-16 16:27:35.725181
93,Oceans and rivers             .mp3,4041447,33206,4986309,4172478725,1,0,0,2023-03-27 19:22:03.692064,2019-09-29 06:51:01.223702,2019-05-16 16:27:35.725181
94,Our day will come (by dione wa.mp3,3665297,33206,4986312,4172478725,1,0,0,2023-03-27 19:22:03.889064,2019-09-29 06:51:02.273028,2019-05-16 16:27:35.726181
95,"Reconsider, baby              .mp3",1928982,33206,4986314,4172478725,1,0,0,2023-03-27 19:22:04.004063,2019-09-29 06:51:03.067377,2019-05-16 16:27:35.726181
96,Rosie &amp;amp;amp; the origin.mp3,4739785,33206,1505265,4172478725,1,0,0,2023-03-27 19:22:01.063071,2007-08-19 13:05:11.000000,2019-05-16 16:27:35.727181
97,Take the short way home       .mp3,3711266,33206,4986316,4172478725,1,0,0,2023-03-27 19:22:04.102063,2019-09-29 06:51:04.362547,2019-05-16 16:27:35.727181
98,World trade center            .mp3,57923842,33206,4986320,4172478725,1,0,0,2023-03-27 19:22:04.244063,2019-09-29 06:51:15.142544,2019-05-16 16:27:35.728181
99,You are my love               .mp3,3496009,33206,4986323,4172478725,1,0,0,2023-03-27 19:22:04.312063,2019-09-29 06:51:16.556564,2019-05-16 16:27:35.728181
100,Yours                         .mp3,3470085,33206,4986327,4172478725,1,0,0,2023-03-27 19:22:04.367062,2019-09-29 06:51:17.578444,2019-05-16 16:27:35.729181
101,"No rhyme, no reason           .mp3",6409323,33206,1582452,4172478725,1,0,0,2023-03-27 19:22:17.217028,2011-06-23 18:17:52.000000,2019-05-16 16:32:11.993686
102,Track 1.mp3,8751112,33206,1582456,4172478725,1,0,0,2023-03-27 19:22:04.785061,2019-09-28 19:09:57.263577,2019-05-16 16:32:12.000686
103,Track 10.mp3,9664612,33206,1582465,4172478725,1,0,0,2023-03-27 19:22:07.807053,2019-09-28 19:09:59.158644,2019-05-16 16:32:12.018686
